                  PsumMax          & 0.997307          & 0.994137          & 0.99915          & 0.997568          & 0.997398 \\ \hline
                  PsumMin          & 0.812428          & 0.547509          & 0.663594          & 0.889913          & 0.863133 \\ \hline
                     clDt          & 0.966655          & 0.989992          & 0.994081          & 0.993191          & 0.993032 \\ \hline
                      Pem          & 0.994452          & 0.998738          & 0.998867          & 0.996206          & 0.996331 \\ \hline
                    d0_ep          & 0.0958326          & 0.00519117          & 0.0027813          & 0.255661          & 0.0761746 \\ \hline
             em_cl_trk_dT          & 0.989451          & 0.987947          & 0.993808          & 0.988745          & 0.988534 \\ \hline
             ep_cl_trk_dT          & 0.979541          & 0.866569          & 0.994368          & 0.932362          & 0.913965 \\ \hline
         em_cl_trk_dT_Top          & 0.989238          & 0.986593          & 0.993563          & 0.989891          & 0.989075 \\ \hline
         em_cl_trk_dT_Bot          & 0.989799          & 0.989455          & 0.994035          & 0.98717          & 0.98783 \\ \hline
         ep_cl_trk_dT_Top          & 0.982062          & 0.852385          & 0.994035          & 0.931092          & 0.90689 \\ \hline
         ep_cl_trk_dT_Bot          & 0.978009          & 0.879747          & 0.994728          & 0.933284          & 0.919478 \\ \hline
                    dX_em          & 0.985523          & 0.979398          & 0.984937          & 0.978467          & 0.978714 \\ \hline
                    dX_ep          & 0.960052          & 0.788391          & 0.822119          & 0.953546          & 0.903375 \\ \hline
           dX_emTopWithL6          & 0.988213          & 0.984421          & 0.988284          & 0.984506          & 0.984485 \\ \hline
             dX_emTopNoL6          & 0.977805          & 0.979592          & 0.953069          & 0.945508          & 0.954545 \\ \hline
           dX_emBotWithL6          & 0.988485          & 0.976825          & 0.989691          & 0.985035          & 0.982775 \\ \hline
             dX_emBotNoL6          & 0.967355          & 0.969178          & 0.977612          & 0.956835          & 0.961085 \\ \hline
           dX_epTopWithL6          & 0.971768          & 0.82696          & 0.870674          & 0.959958          & 0.924223 \\ \hline
             dX_epTopNoL6          & 0.919748          & 0.679688          & 0.695122          & 0.660714          & 0.677273 \\ \hline
           dX_epBotWithL6          & 0.958064          & 0.839038          & 0.888715          & 0.958107          & 0.932094 \\ \hline
             dX_epBotNoL6          & 0.907303          & 0.68254          & 0.706767          & 0.814286          & 0.71118 \\ \hline
        PSumMin_MinvBin_0          & 0          & 0          & -nan          & -nan          & 0 \\ \hline
        PSumMin_MinvBin_1          & 0.504762          & 0.250883          & 0.390977          & 0.657012          & 0.56059 \\ \hline
        PSumMin_MinvBin_2          & 0.80366          & 0.600907          & 0.6265          & 0.854941          & 0.834976 \\ \hline
        PSumMin_MinvBin_3          & 0.920713          & 0.81225          & 0.830204          & 0.939939          & 0.934146 \\ \hline
        PSumMin_MinvBin_4          & 0.959951          & 0.868914          & 0.933902          & 0.98583          & 0.981441 \\ \hline
        PSumMin_MinvBin_5          & 0.972159          & 0.905405          & 0.963855          & 0.993651          & 0.990757 \\ \hline
        PSumMin_MinvBin_6          & 0.97543          & 1          & 0.962963          & 1          & 1 \\ \hline
        PSumMin_MinvBin_7          & 0.981058          & 0.857143          & 0.884615          & 0.96875          & 0.965334 \\ \hline
        PSumMin_MinvBin_8          & 0.973009          & 1          & 1          & 1          & 1 \\ \hline
        PSumMin_MinvBin_9          & 0.982955          & 1          & 1          & 1          & 1 \\ \hline
       PSumMin_MinvBin_10          & 0.986755          & 1          & 1          & 1          & 1 \\ \hline
       PSumMin_MinvBin_11          & 1          & -nan          & -nan          & -nan          & -nan \\ \hline
